theta_o,Lambert,ON,QON,footnoteQON,fujiiQON,FON,EON,GGX,MRM
-89.9999,0.31831,0.306548,0.307238,0.311706,0.294408,0.287859,0.287859,0.0101463,0.00932884
-88.9999,0.31831,0.304042,0.307238,0.311706,0.294411,0.287863,0.287908,0.00275607,0.00249101
-87.9999,0.31831,0.301999,0.307238,0.311706,0.294421,0.287873,0.287967,0.00148743,0.00131967
-86.9999,0.31831,0.300321,0.307238,0.311706,0.294437,0.287889,0.288033,0.00102755,0.000893654
-85.9999,0.31831,0.298937,0.307238,0.311706,0.29446,0.287912,0.288106,0.000794429,0.000676364
-84.9999,0.31831,0.297796,0.307238,0.311706,0.294489,0.287941,0.288186,0.000654918,0.000545149
-83.9999,0.31831,0.29686,0.307238,0.311706,0.294525,0.287978,0.288272,0.000562886,0.00045753
-82.9999,0.31831,0.296098,0.307238,0.311706,0.294568,0.28802,0.288365,0.000498224,0.000394991
-81.9999,0.31831,0.295489,0.307238,0.311706,0.294617,0.288069,0.288465,0.000450792,0.000348192
-80.9999,0.31831,0.295014,0.307238,0.311706,0.294672,0.288125,0.288571,0.000414925,0.000311917
-79.9999,0.31831,0.294658,0.307238,0.311706,0.294734,0.288187,0.288684,0.000387217,0.000283023
-78.9999,0.31831,0.294223,0.307238,0.311706,0.294802,0.288255,0.288804,0.000365498,0.000259507
-77.9999,0.31831,0.293882,0.307238,0.311706,0.294877,0.28833,0.28893,0.000348321,0.000240031
-76.9999,0.31831,0.293619,0.307238,0.311706,0.294958,0.288412,0.289062,0.000334685,0.000223668
-75.9999,0.31831,0.293423,0.307238,0.311706,0.295045,0.2885,0.289201,0.000323878,0.000209756
-74.9999,0.31831,0.293285,0.307238,0.311706,0.295139,0.288594,0.289346,0.000315378,0.000197808
-73.9999,0.31831,0.293197,0.307238,0.311706,0.295239,0.288694,0.289497,0.000308796,0.000187458
-72.9999,0.31831,0.293154,0.307238,0.311706,0.295346,0.288801,0.289654,0.000303835,0.00017843
