theta_o,Lambert,ON,QON,footnoteQON,fujiiQON,FON,EON,GGX,MRM
64.0001,0.31831,0.32187,0.280144,0.297777,0.328512,0.380174,0.409959,0.0841819,0.274881
65.0001,0.31831,0.32267,0.280847,0.29848,0.329215,0.381119,0.409836,0.0846267,0.272994
66.0001,0.31831,0.323448,0.281525,0.299157,0.329892,0.382029,0.409663,0.0851527,0.271223
67.0001,0.31831,0.324205,0.282176,0.299809,0.330544,0.382905,0.409441,0.0857626,0.269575
68.0001,0.31831,0.32494,0.282801,0.300434,0.331169,0.383745,0.409172,0.0864593,0.268058
69.0001,0.31831,0.325654,0.2834,0.301032,0.331767,0.384549,0.408855,0.0872458,0.266679
70.0001,0.31831,0.326345,0.283972,0.301604,0.332339,0.385318,0.408493,0.0881256,0.265444
71.0001,0.31831,0.327015,0.284517,0.30215,0.332885,0.386051,0.408084,0.0891023,0.26436
72.0001,0.31831,0.327664,0.285035,0.302668,0.333403,0.386748,0.407631,0.0901798,0.263432
73.0001,0.31831,0.328291,0.285527,0.303159,0.333894,0.387408,0.407134,0.0913623,0.262667
74.0001,0.31831,0.328897,0.28599,0.303623,0.334358,0.388031,0.406594,0.0926542,0.26207
75.0001,0.31831,0.329482,0.286427,0.304059,0.334794,0.388618,0.406013,0.0940603,0.261645
76.0001,0.31831,0.330046,0.286836,0.304468,0.335203,0.389168,0.405389,0.0955857,0.261399
77.0001,0.31831,0.330589,0.287217,0.30485,0.335585,0.38968,0.404726,0.0972358,0.261335
78.0001,0.31831,0.331112,0.287571,0.305203,0.335938,0.390156,0.404023,0.0990162,0.261457
79.0001,0.31831,0.331615,0.287896,0.305529,0.336264,0.390593,0.403281,0.100933,0.261771
80.0001,0.31831,0.332097,0.288194,0.305827,0.336562,0.390993,0.402502,0.102992,0.262279
81.0001,0.31831,0.332561,0.288464,0.306096,0.336831,0.391356,0.401685,0.105201,0.262986
82.0001,0.31831,0.333005,0.288705,0.306338,0.337073,0.39168,0.400833,0.107565,0.263895
83.0001,0.31831,0.33343,0.288918,0.306551,0.337286,0.391967,0.399946,0.110094,0.265008
84.0001,0.31831,0.333837,0.289103,0.306736,0.337471,0.392215,0.399024,0.112794,0.266331
85.0001,0.31831,0.334227,0.28926,0.306892,0.337627,0.392426,0.398068,0.115673,0.267865
86.0001,0.31831,0.334599,0.289388,0.30702,0.337755,0.392598,0.39708,0.11874,0.269614
87.0001,0.31831,0.334955,0.289488,0.30712,0.337855,0.392732,0.39606,0.122005,0.271581
88.0001,0.31831,0.335295,0.289559,0.307191,0.337926,0.392828,0.395009,0.125477,0.27377
89.0001,0.31831,0.335621,0.289602,0.307234,0.337969,0.392885,0.393927,0.129166,0.276186
