theta_o,Lambert,ON,QON,footnoteQON,fujiiQON,FON,EON,GGX,MRM
-89.9999,0.31831,0.140675,0.196027,0.213659,0.150805,0.14132,0.14132,1.01014,0.128229
-88.9999,0.31831,0.140695,0.196027,0.213659,0.150819,0.141339,0.142381,0.998858,0.124268
-87.9999,0.31831,0.140756,0.196027,0.213659,0.150862,0.141397,0.143578,0.988242,0.120536
-86.9999,0.31831,0.140856,0.196027,0.213659,0.150933,0.141493,0.144821,0.978272,0.117022
-85.9999,0.31831,0.140997,0.196027,0.213659,0.151033,0.141627,0.146109,0.968924,0.113714
-84.9999,0.31831,0.141179,0.196027,0.213659,0.151161,0.141799,0.147442,0.960176,0.110603
-83.9999,0.31831,0.1414,0.196027,0.213659,0.151317,0.142009,0.148818,0.952004,0.107679
-82.9999,0.31831,0.141662,0.196027,0.213659,0.151502,0.142258,0.150237,0.944385,0.104934
-81.9999,0.31831,0.141963,0.196027,0.213659,0.151716,0.142545,0.151698,0.937294,0.102359
-80.9999,0.31831,0.142305,0.196027,0.213659,0.151957,0.142869,0.153199,0.930706,0.0999454
-79.9999,0.31831,0.142686,0.196027,0.213659,0.152227,0.143231,0.15474,0.924593,0.0976865
-78.9999,0.31831,0.143107,0.196027,0.213659,0.152524,0.143631,0.156319,0.918928,0.0955749
-77.9999,0.31831,0.143567,0.196027,0.213659,0.15285,0.144069,0.157937,0.91368,0.0936037
-76.9999,0.31831,0.144067,0.196027,0.213659,0.153203,0.144544,0.15959,0.908818,0.0917665
-75.9999,0.31831,0.144607,0.196027,0.213659,0.153585,0.145057,0.161279,0.90431,0.090057
-74.9999,0.31831,0.145185,0.196027,0.213659,0.153994,0.145607,0.163001,0.90012,0.0884695
-73.9999,0.31831,0.145802,0.196027,0.213659,0.15443,0.146193,0.164757,0.896214,0.0869985
-72.9999,0.31831,0.146458,0.196027,0.213659,0.154894,0.146817,0.166543,0.892554,0.0856387
-71.9999,0.31831,0.147153,0.196027,0.213659,0.155385,0.147477,0.168361,0.889102,0.0843852
-70.9999,0.31831,0.147886,0.196027,0.213659,0.155904,0.148174,0.170207,0.88582,0.0832335
-69.9999,0.31831,0.148657,0.196027,0.213659,0.156449,0.148907,0.172081,0.882666,0.0821793
-68.9999,0.31831,0.149466,0.196027,0.213659,0.157021,0.149675,0.173982,0.879602,0.0812185
-67.9999,0.31831,0.150313,0.196027,0.213659,0.15762,0.15048,0.175907,0.876586,0.0803474
-66.9999,0.31831,0.151197,0.196027,0.213659,0.158245,0.15132,0.177857,0.873576,0.0795625
-65.9999,0.31831,0.152118,0.196027,0.213659,0.158896,0.152196,0.17983,0.870533,0.0788606
-64.9999,0.31831,0.153076,0.196027,0.213659,0.159573,0.153106,0.181823,0.867414,0.0782387
-63.9999,0.31831,0.15407,0.196027,0.213659,0.160277,0.154051,0.183837,0.86418,0.0776942
-62.9999,0.31831,0.155101,0.196027,0.213659,0.161005,0.155031,0.18587,0.860791,0.0772245
-61.9999,0.31831,0.156168,0.196027,0.213659,0.16176,0.156045,0.187921,0.857208,0.0768275
-60.9999,0.31831,0.15727,0.196027,0.213659,0.162539,0.157092,0.189988,0.853394,0.0765009
-59.9999,0.31831,0.158407,0.196027,0.213659,0.163343,0.158173,0.19207,0.849313,0.0762432
-58.9999,0.31831,0.15958,0.196027,0.213659,0.164172,0.159288,0.194167,0.844931,0.0760525
-57.9999,0.31831,0.160787,0.196027,0.213659,0.165026,0.160435,0.196277,0.840217,0.0759275
-56.9999,0.31831,0.162028,0.196027,0.213659,0.165904,0.161614,0.198398,0.83514,0.0758669
-55.9999,0.31831,0.163303,0.196027,0.213659,0.166805,0.162826,0.200531,0.829674,0.0758697
-54.9999,0.31831,0.164611,0.196027,0.213659,0.16773,0.16407,0.202673,0.823795,0.075935
-53.9999,0.31831,0.165953,0.196027,0.213659,0.168679,0.165345,0.204825,0.817482,0.076062
-52.9999,0.31831,0.167327,0.196027,0.213659,0.16965,0.16665,0.206984,0.810718,0.0762502
-51.9999,0.31831,0.168733,0.196027,0.213659,0.170645,0.167987,0.209151,0.803489,0.0764992
-50.9999,0.31831,0.170171,0.196027,0.213659,0.171662,0.169354,0.211324,0.795784,0.0768088
-49.9999,0.31831,0.17164,0.196027,0.213659,0.172701,0.17075,0.213502,0.787598,0.0771788
-48.9999,0.31831,0.173141,0.196027,0.213659,0.173761,0.172176,0.215686,0.778926,0.0776093
-47.9999,0.31831,0.174671,0.196027,0.213659,0.174844,0.173631,0.217873,0.769771,0.0781005
-46.9999,0.31831,0.176232,0.196027,0.213659,0.175947,0.175114,0.220064,0.760137,0.0786527
-45.9999,0.31831,0.177822,0.196027,0.213659,0.177072,0.176625,0.222257,0.750034,0.0792664
-44.9999,0.31831,0.179441,0.196027,0.213659,0.178217,0.178164,0.224453,0.739473,0.0799422
-43.9999,0.31831,0.180512,0.196027,0.213659,0.179382,0.17973,0.22665,0.728471,0.0806809
-42.9999,0.31831,0.181623,0.196027,0.213659,0.180566,0.181323,0.228849,0.717046,0.0814834
-41.9999,0.31831,0.182771,0.196027,0.213659,0.181771,0.182941,0.231049,0.705222,0.0823506
-40.9999,0.31831,0.183953,0.196027,0.213659,0.182994,0.184585,0.233249,0.693022,0.0832839
-39.9999,0.31831,0.185168,0.196027,0.213659,0.184236,0.186255,0.23545,0.680476,0.0842843
-38.9999,0.31831,0.186411,0.196027,0.213659,0.185497,0.187949,0.23765,0.667612,0.0853535
-37.9999,0.31831,0.18768,0.196027,0.213659,0.186775,0.189667,0.23985,0.654463,0.086493
-36.9999,0.31831,0.188974,0.196027,0.213659,0.188071,0.191409,0.24205,0.641061,0.0877045
