theta_o,Lambert,ON,QON,footnoteQON,fujiiQON,FON,EON,GGX,MRM
-89.9999,0.31831,0.29984,0.307238,0.311706,0.30046,0.293935,0.293935,0.00899984,0.00324045
-88.9999,0.31831,0.299774,0.307238,0.311706,0.300462,0.293937,0.294119,0.00251788,0.00087714
-87.9999,0.31831,0.299718,0.307238,0.311706,0.300469,0.293945,0.294324,0.00139697,0.000470752
-86.9999,0.31831,0.299672,0.307238,0.311706,0.300481,0.293956,0.294535,0.000990947,0.000322949
-85.9999,0.31831,0.299636,0.307238,0.311706,0.300497,0.293973,0.294752,0.000785827,0.000247627
-84.9999,0.31831,0.299609,0.307238,0.311706,0.300518,0.293994,0.294975,0.000663798,0.000202211
-83.9999,0.31831,0.299591,0.307238,0.311706,0.300544,0.29402,0.295204,0.000584014,0.000171948
-82.9999,0.31831,0.299582,0.307238,0.311706,0.300575,0.29405,0.295438,0.000528669,0.00015041
-81.9999,0.31831,0.299583,0.307238,0.311706,0.30061,0.294086,0.295678,0.000488785,0.00013435
-80.9999,0.31831,0.299592,0.307238,0.311706,0.30065,0.294126,0.295922,0.000459355,0.000121959
-79.9999,0.31831,0.299609,0.307238,0.311706,0.300694,0.29417,0.296172,0.000437373,0.000112143
-78.9999,0.31831,0.299636,0.307238,0.311706,0.300743,0.294219,0.296426,0.00042093,0.000104208
-77.9999,0.31831,0.29967,0.307238,0.311706,0.300797,0.294273,0.296685,0.000408758,9.76894e-005
-76.9999,0.31831,0.299713,0.307238,0.311706,0.300855,0.294332,0.296948,0.00039999,9.22654e-005
-75.9999,0.31831,0.299764,0.307238,0.311706,0.300918,0.294395,0.297216,0.000394013,8.77062e-005
-74.9999,0.31831,0.299823,0.307238,0.311706,0.300985,0.294462,0.297488,0.000390387,8.38437e-005
-73.9999,0.31831,0.299891,0.307238,0.311706,0.301057,0.294534,0.297763,0.000388791,8.05516e-005
-72.9999,0.31831,0.299965,0.307238,0.311706,0.301133,0.294611,0.298042,0.00038899,7.77337e-005
