theta_o,MRM
-89.9999,0.00367363
-88.9999,0.00267935
-87.9999,0.00201358
-86.9999,0.00157697
-85.9999,0.001284
-84.9999,0.00107964
-83.9999,0.000931318
-82.9999,0.000819855
-81.9999,0.000733591
-80.9999,0.000665179
-79.9999,0.000609816
-78.9999,0.000564253
-77.9999,0.000526222
-76.9999,0.000494103
-75.9999,0.000466704
-74.9999,0.000443136
-73.9999,0.00042272
-72.9999,0.000404931
-71.9999,0.000389355
-70.9999,0.000375666
-69.9999,0.000363598
-68.9999,0.000352937
-67.9999,0.000343507
-66.9999,0.000335163
-65.9999,0.000327783
-64.9999,0.000321267
-63.9999,0.000315528
-62.9999,0.000310496
-61.9999,0.000306108
-60.9999,0.000302313
-59.9999,0.000299066
-58.9999,0.000296329
-57.9999,0.000294071
-56.9999,0.000292264
-55.9999,0.000290884
-54.9999,0.000289911
-53.9999,0.000289331
-52.9999,0.000289128
-51.9999,0.000289292
-50.9999,0.000289815
-49.9999,0.00029069
-48.9999,0.000291913
-47.9999,0.000293481
-46.9999,0.000295393
-45.9999,0.000297651
-44.9999,0.000300256
-43.9999,0.000303214
-42.9999,0.000306529
-41.9999,0.000310209
-40.9999,0.000314263
-39.9999,0.000318702
-38.9999,0.000323536
-37.9999,0.00032878
-36.9999,0.00033445
-35.9999,0.000340563
-34.9999,0.000347138
-33.9999,0.000354196
-32.9999,0.000361762
-31.9999,0.000369861
-30.9999,0.000378521
-29.9999,0.000387774
-28.9999,0.000397653
-27.9999,0.000408197
-26.9999,0.000419444
-25.9999,0.000431441
-24.9999,0.000444235
-23.9999,0.000457879
-22.9999,0.000472432
-21.9999,0.000487956
-20.9999,0.00050452
-19.9999,0.0005222
-18.9999,0.000541079
-17.9999,0.000561247
-16.9999,0.000582804
-15.9999,0.000605859
-14.9999,0.000630531
-13.9999,0.000656952
-12.9999,0.000685268
-11.9999,0.000715638
-10.9999,0.000748238
-9.9999,0.000783264
-8.9999,0.000820931
-7.9999,0.000861479
-6.9999,0.000905172
-5.9999,0.000952304
-4.9999,0.0010032
-3.9999,0.00105824
-2.9999,0.00111781
-1.9999,0.00118239
-0.999901,0.00125247
9.91821e-005,0.00132863
1.0001,0.00141151
2.0001,0.00150185
3.0001,0.00160046
4.0001,0.00170827
5.0001,0.00182632
6.0001,0.00195581
7.0001,0.0020981
8.0001,0.00225472
9.0001,0.00242746
10.0001,0.00261833
11.0001,0.00282966
12.0001,0.00306414
13.0001,0.00332486
14.0001,0.00361541
15.0001,0.00393997
16.0001,0.00430338
17.0001,0.00471134
18.0001,0.00517049
19.0001,0.00568867
20.0001,0.00627514
21.0001,0.00694086
22.0001,0.00769889
23.0001,0.0085648
24.0001,0.00955731
25.0001,0.0106989
26.0001,0.012017
27.0001,0.0135446
28.0001,0.0153223
29.0001,0.0174001
30.0001,0.0198394
31.0001,0.0227168
32.0001,0.0261282
33.0001,0.0301941
34.0001,0.0350674
35.0001,0.0409433
36.0001,0.0480729
37.0001,0.0567818
38.0001,0.0674962
39.0001,0.0807783
40.0001,0.0973772
41.0001,0.118301
42.0001,0.14492
43.0001,0.179119
44.0001,0.223515
45.0001,0.281789
46.0001,0.359175
47.0001,0.463201
48.0001,0.604799
49.0001,0.799987
50.0001,1.07234
51.0001,1.45653
52.0001,2.00293
53.0001,2.78249
54.0001,3.88848
55.0001,5.42602
56.0001,7.47051
57.0001,9.97136
58.0001,12.6095
59.0001,14.7296
60.0001,15.5672
61.0001,14.7626
62.0001,12.662
63.0001,10.0256
64.0001,7.51322
65.0001,5.45108
66.0001,3.8952
67.0001,2.77299
68.0001,1.98026
69.0001,1.42366
70.0001,1.03179
71.0001,0.753712
72.0001,0.554279
73.0001,0.409497
74.0001,0.303026
75.0001,0.223677
76.0001,0.163723
77.0001,0.117763
78.0001,0.0819768
79.0001,0.053613
80.0001,0.0306505
81.0001,0.0115626
82.0001,-0.00485754
83.0001,-0.01963
84.0001,-0.0337139
85.0001,-0.0481457
86.0001,-0.0642354
87.0001,-0.0838616
88.0001,-0.109872
89.0001,-0.14624
