theta_o,Lambert,ON,QON,footnoteQON,fujiiQON,FON,EON,GGX,MRM
-89.9999,0.31831,0.210673,0.196027,0.213659,0.152227,0.143231,0.143231,0.44101,0.412398
-88.9999,0.31831,0.199912,0.196027,0.213659,0.152241,0.14325,0.143509,0.404994,0.373615
-87.9999,0.31831,0.191139,0.196027,0.213659,0.152283,0.143307,0.143849,0.375582,0.341436
-86.9999,0.31831,0.183931,0.196027,0.213659,0.152353,0.143401,0.144229,0.351256,0.314341
-85.9999,0.31831,0.177988,0.196027,0.213659,0.152451,0.143533,0.144648,0.330931,0.291242
-84.9999,0.31831,0.173088,0.196027,0.213659,0.152577,0.143703,0.145106,0.313814,0.271343
-83.9999,0.31831,0.169067,0.196027,0.213659,0.152731,0.14391,0.145603,0.299313,0.254047
-82.9999,0.31831,0.165798,0.196027,0.213659,0.152914,0.144155,0.146139,0.286971,0.238895
-81.9999,0.31831,0.163182,0.196027,0.213659,0.153124,0.144437,0.146713,0.276438,0.225533
-80.9999,0.31831,0.161141,0.196027,0.213659,0.153361,0.144757,0.147325,0.267434,0.213679
-79.9999,0.31831,0.159612,0.196027,0.213659,0.153627,0.145113,0.147975,0.259738,0.203109
-78.9999,0.31831,0.157588,0.196027,0.213659,0.15392,0.145507,0.148662,0.253171,0.19364
-77.9999,0.31831,0.155967,0.196027,0.213659,0.154241,0.145939,0.149386,0.247584,0.185125
-76.9999,0.31831,0.154685,0.196027,0.213659,0.154589,0.146406,0.150147,0.242858,0.17744
-75.9999,0.31831,0.153694,0.196027,0.213659,0.154964,0.146911,0.150944,0.238891,0.170482
-74.9999,0.31831,0.152952,0.196027,0.213659,0.155367,0.147453,0.151777,0.235597,0.164165
-73.9999,0.31831,0.152429,0.196027,0.213659,0.155797,0.14803,0.152646,0.232905,0.158417
-72.9999,0.31831,0.152098,0.196027,0.213659,0.156254,0.148644,0.153549,0.230752,0.153174
-71.9999,0.31831,0.151936,0.196027,0.213659,0.156738,0.149295,0.154487,0.229085,0.148385
-70.9999,0.31831,0.151925,0.196027,0.213659,0.157248,0.149981,0.155459,0.227857,0.144003
-69.9999,0.31831,0.152048,0.196027,0.213659,0.157785,0.150702,0.156464,0.227026,0.139988
-68.9999,0.31831,0.152292,0.196027,0.213659,0.158348,0.15146,0.157503,0.226557,0.136306
-67.9999,0.31831,0.152646,0.196027,0.213659,0.158938,0.152252,0.158574,0.226417,0.132927
-66.9999,0.31831,0.153098,0.196027,0.213659,0.159553,0.153079,0.159677,0.226575,0.129824
-65.9999,0.31831,0.15364,0.196027,0.213659,0.160195,0.153942,0.160812,0.227005,0.126974
-64.9999,0.31831,0.154263,0.196027,0.213659,0.160862,0.154838,0.161978,0.227682,0.124357
-63.9999,0.31831,0.15496,0.196027,0.213659,0.161555,0.155769,0.163174,0.228582,0.121954
-62.9999,0.31831,0.155726,0.196027,0.213659,0.162272,0.156734,0.164401,0.229683,0.11975
-61.9999,0.31831,0.156553,0.196027,0.213659,0.163015,0.157732,0.165657,0.230964,0.117729
-60.9999,0.31831,0.157438,0.196027,0.213659,0.163783,0.158764,0.166942,0.232405,0.115879
-59.9999,0.31831,0.158375,0.196027,0.213659,0.164575,0.159828,0.168256,0.233986,0.114189
-58.9999,0.31831,0.159361,0.196027,0.213659,0.165391,0.160926,0.169597,0.23569,0.112649
-57.9999,0.31831,0.160391,0.196027,0.213659,0.166232,0.162055,0.170966,0.237496,0.111249
-56.9999,0.31831,0.161461,0.196027,0.213659,0.167096,0.163217,0.172362,0.239386,0.10998
-55.9999,0.31831,0.16257,0.196027,0.213659,0.167984,0.16441,0.173785,0.241343,0.108837
-54.9999,0.31831,0.163713,0.196027,0.213659,0.168895,0.165635,0.175233,0.243349,0.107811
-53.9999,0.31831,0.164889,0.196027,0.213659,0.169829,0.166891,0.176706,0.245386,0.106897
-52.9999,0.31831,0.166094,0.196027,0.213659,0.170786,0.168177,0.178205,0.247435,0.106091
-51.9999,0.31831,0.167326,0.196027,0.213659,0.171765,0.169493,0.179727,0.249481,0.105386
-50.9999,0.31831,0.168584,0.196027,0.213659,0.172767,0.170839,0.181274,0.251506,0.104778
-49.9999,0.31831,0.169865,0.196027,0.213659,0.17379,0.172214,0.182843,0.253492,0.104264
-48.9999,0.31831,0.171168,0.196027,0.213659,0.174834,0.173618,0.184436,0.255423,0.103841
-47.9999,0.31831,0.17249,0.196027,0.213659,0.1759,0.175051,0.186051,0.257283,0.103504
-46.9999,0.31831,0.173831,0.196027,0.213659,0.176987,0.176512,0.187687,0.259056,0.103252
-45.9999,0.31831,0.175189,0.196027,0.213659,0.178094,0.178,0.189345,0.260726,0.103082
-44.9999,0.31831,0.176562,0.196027,0.213659,0.179222,0.179515,0.191024,0.262279,0.102992
-43.9999,0.31831,0.177949,0.196027,0.213659,0.180369,0.181058,0.192723,0.263701,0.102979
-42.9999,0.31831,0.179349,0.196027,0.213659,0.181536,0.182626,0.194442,0.264979,0.103043
-41.9999,0.31831,0.180761,0.196027,0.213659,0.182722,0.18422,0.196181,0.2661,0.103181
-40.9999,0.31831,0.182184,0.196027,0.213659,0.183927,0.185839,0.197938,0.267054,0.103392
-39.9999,0.31831,0.183618,0.196027,0.213659,0.18515,0.187483,0.199714,0.26783,0.103676
-38.9999,0.31831,0.18506,0.196027,0.213659,0.186391,0.189152,0.201508,0.268419,0.104031
-37.9999,0.31831,0.18651,0.196027,0.213659,0.18765,0.190844,0.20332,0.268814,0.104457
-36.9999,0.31831,0.187968,0.196027,0.213659,0.188926,0.192559,0.20515,0.269008,0.104953
-35.9999,0.31831,0.189433,0.196027,0.213659,0.190219,0.194297,0.206996,0.268996,0.105519
-34.9999,0.31831,0.190904,0.196027,0.213659,0.191529,0.196057,0.208858,0.268776,0.106154
-33.9999,0.31831,0.192381,0.196027,0.213659,0.192855,0.197839,0.210736,0.268343,0.106859
-32.9999,0.31831,0.193862,0.196027,0.213659,0.194196,0.199642,0.21263,0.267698,0.107632
-31.9999,0.31831,0.195349,0.196027,0.213659,0.195553,0.201466,0.214539,0.266842,0.108474
-30.9999,0.31831,0.196839,0.196027,0.213659,0.196924,0.203309,0.216463,0.265775,0.109386
-29.9999,0.31831,0.198333,0.196027,0.213659,0.19831,0.205172,0.218402,0.264502,0.110367
-28.9999,0.31831,0.19983,0.196027,0.213659,0.199711,0.207054,0.220354,0.263027,0.111418
-27.9999,0.31831,0.20133,0.196027,0.213659,0.201124,0.208954,0.22232,0.261355,0.112539
-26.9999,0.31831,0.202833,0.196027,0.213659,0.202551,0.210872,0.224299,0.259492,0.113731
-25.9999,0.31831,0.204338,0.196027,0.213659,0.203991,0.212807,0.22629,0.257448,0.114994
-24.9999,0.31831,0.205846,0.196027,0.213659,0.205443,0.214758,0.228294,0.25523,0.116328
-23.9999,0.31831,0.207355,0.196027,0.213659,0.206906,0.216726,0.23031,0.252847,0.117734
-22.9999,0.31831,0.208867,0.196027,0.213659,0.208381,0.218708,0.232338,0.25031,0.119213
-21.9999,0.31831,0.21038,0.196027,0.213659,0.209868,0.220706,0.234376,0.247629,0.120765
-20.9999,0.31831,0.211895,0.196027,0.213659,0.211364,0.222718,0.236425,0.244815,0.122391
-19.9999,0.31831,0.213411,0.196027,0.213659,0.212871,0.224743,0.238485,0.24188,0.124092
-18.9999,0.31831,0.21493,0.196027,0.213659,0.214387,0.226781,0.240554,0.238834,0.125867
-17.9999,0.31831,0.21645,0.196027,0.213659,0.215913,0.228831,0.242633,0.235689,0.127719
-16.9999,0.31831,0.217972,0.196027,0.213659,0.217447,0.230893,0.244721,0.232458,0.129646
-15.9999,0.31831,0.219496,0.196027,0.213659,0.218989,0.232966,0.246817,0.22915,0.131651
-14.9999,0.31831,0.221022,0.196027,0.213659,0.220539,0.23505,0.248921,0.225779,0.133732
-13.9999,0.31831,0.22255,0.196027,0.213659,0.222097,0.237143,0.251033,0.222354,0.135891
-12.9999,0.31831,0.224081,0.196027,0.213659,0.223661,0.239245,0.253152,0.218888,0.138127
-11.9999,0.31831,0.225615,0.196027,0.213659,0.225231,0.241356,0.255277,0.215389,0.140442
-10.9999,0.31831,0.227152,0.196027,0.213659,0.226808,0.243475,0.257409,0.211869,0.142834
-9.9999,0.31831,0.228692,0.196027,0.213659,0.228389,0.245601,0.259546,0.208336,0.145303
-8.9999,0.31831,0.230237,0.196027,0.213659,0.229976,0.247733,0.261689,0.2048,0.14785
-7.9999,0.31831,0.231785,0.196027,0.213659,0.231567,0.249872,0.263836,0.201269,0.150474
-6.9999,0.31831,0.233339,0.196027,0.213659,0.233162,0.252015,0.265986,0.197752,0.153173
