theta_o,Lambert,ON,QON,footnoteQON,fujiiQON,FON,EON,GGX,MRM
-89.9999,0.31831,0.270661,0.307238,0.311706,0.285518,0.278935,0.278935,154.75,0.00930457
-88.9999,0.31831,0.270687,0.307238,0.311706,0.285522,0.27894,0.278985,62.3056,0.00248318
-87.9999,0.31831,0.270767,0.307238,0.311706,0.285536,0.278953,0.279048,52.1664,0.00131473
-86.9999,0.31831,0.2709,0.307238,0.311706,0.285559,0.278977,0.279121,59.2196,0.000889738
-85.9999,0.31831,0.271087,0.307238,0.311706,0.285592,0.279009,0.279203,81.0461,0.00067293
-84.9999,0.31831,0.271326,0.307238,0.311706,0.285633,0.279051,0.279295,130.605,0.000541976
-83.9999,0.31831,0.271618,0.307238,0.311706,0.285684,0.279102,0.279396,251.68,0.000454504
-82.9999,0.31831,0.271964,0.307238,0.311706,0.285744,0.279162,0.279507,608.518,0.000392047
-81.9999,0.31831,0.272362,0.307238,0.311706,0.285813,0.279231,0.279627,2008.02,0.000345287
-80.9999,0.31831,0.272813,0.307238,0.311706,0.285892,0.27931,0.279757,9426.1,0.000309022
-79.9999,0.31831,0.273316,0.307238,0.311706,0.285979,0.279398,0.279895,26348,0.000280117
-78.9999,0.31831,0.273609,0.307238,0.311706,0.286076,0.279495,0.280043,7728.17,0.000256575
-77.9999,0.31831,0.273947,0.307238,0.311706,0.286181,0.279601,0.2802,1344.7,0.000237061
-76.9999,0.31831,0.274321,0.307238,0.311706,0.286296,0.279716,0.280366,329.993,0.000220649
-75.9999,0.31831,0.274725,0.307238,0.311706,0.286419,0.27984,0.280541,108.93,0.000206679
-74.9999,0.31831,0.275153,0.307238,0.311706,0.286552,0.279973,0.280725,44.1026,0.000194666
-73.9999,0.31831,0.275601,0.307238,0.311706,0.286694,0.280115,0.280918,20.6067,0.000184246
-72.9999,0.31831,0.276067,0.307238,0.311706,0.286844,0.280266,0.281119,10.6925,0.00017514
-71.9999,0.31831,0.276546,0.307238,0.311706,0.287003,0.280426,0.281329,6.00818,0.000167133
-70.9999,0.31831,0.277039,0.307238,0.311706,0.287171,0.280595,0.281548,3.59363,0.000160053
-69.9999,0.31831,0.277542,0.307238,0.311706,0.287348,0.280773,0.281775,2.26027,0.000153764
-68.9999,0.31831,0.278055,0.307238,0.311706,0.287534,0.280959,0.28201,1.48164,0.000148156
-67.9999,0.31831,0.278576,0.307238,0.311706,0.287728,0.281154,0.282253,1.00542,0.000143138
-66.9999,0.31831,0.279105,0.307238,0.311706,0.287931,0.281357,0.282505,0.702615,0.000138636
-65.9999,0.31831,0.27964,0.307238,0.311706,0.288142,0.281569,0.282764,0.50358,0.000134589
-64.9999,0.31831,0.280181,0.307238,0.311706,0.288362,0.28179,0.283032,0.368954,0.000130944
-63.9999,0.31831,0.280727,0.307238,0.311706,0.28859,0.282019,0.283307,0.27559,0.000127658
-62.9999,0.31831,0.281278,0.307238,0.311706,0.288826,0.282256,0.28359,0.209403,0.000124694
-61.9999,0.31831,0.281833,0.307238,0.311706,0.289071,0.282502,0.28388,0.161558,0.00012202
-60.9999,0.31831,0.282391,0.307238,0.311706,0.289323,0.282755,0.284178,0.126364,0.00011961
-59.9999,0.31831,0.282952,0.307238,0.311706,0.289584,0.283017,0.284483,0.100067,0.000117439
-58.9999,0.31831,0.283516,0.307238,0.311706,0.289853,0.283287,0.284795,0.0801375,0.000115488
-57.9999,0.31831,0.284082,0.307238,0.311706,0.29013,0.283565,0.285115,0.0648386,0.00011374
-56.9999,0.31831,0.284651,0.307238,0.311706,0.290415,0.283851,0.285441,0.0529555,0.000112179
-55.9999,0.31831,0.285221,0.307238,0.311706,0.290707,0.284144,0.285775,0.0436256,0.000110792
-54.9999,0.31831,0.285792,0.307238,0.311706,0.291007,0.284445,0.286115,0.0362274,0.000109567
-53.9999,0.31831,0.286364,0.307238,0.311706,0.291315,0.284754,0.286461,0.0303071,0.000108495
-52.9999,0.31831,0.286938,0.307238,0.311706,0.29163,0.285071,0.286815,0.0255291,0.000107567
-51.9999,0.31831,0.287511,0.307238,0.311706,0.291952,0.285394,0.287174,0.0216425,0.000106776
-50.9999,0.31831,0.288086,0.307238,0.311706,0.292282,0.285725,0.28754,0.0184578,0.000106114
-49.9999,0.31831,0.28866,0.307238,0.311706,0.292619,0.286064,0.287912,0.0158303,0.000105576
-48.9999,0.31831,0.289234,0.307238,0.311706,0.292963,0.286409,0.28829,0.0136485,0.000105158
-47.9999,0.31831,0.289809,0.307238,0.311706,0.293314,0.286761,0.288675,0.0118259,0.000104854
-46.9999,0.31831,0.290383,0.307238,0.311706,0.293672,0.287121,0.289064,0.0102947,0.000104662
-45.9999,0.31831,0.290956,0.307238,0.311706,0.294037,0.287487,0.28946,0.00900145,0.000104578
-44.9999,0.31831,0.291528,0.307238,0.311706,0.294408,0.28786,0.289861,0.00790368,0.000104601
-43.9999,0.31831,0.2921,0.307238,0.311706,0.294786,0.288239,0.290268,0.00696739,0.000104728
