theta_o,Lambert,ON,QON,footnoteQON,fujiiQON,FON,EON,GGX,MRM
-89.9999,0.31831,0.29106,0.307238,0.311706,0.294077,0.287527,0.287527,0.104809,0.00308876
-88.9999,0.31831,0.291065,0.307238,0.311706,0.29408,0.28753,0.287712,0.0303852,0.000834397
-87.9999,0.31831,0.291079,0.307238,0.311706,0.29409,0.28754,0.28792,0.0174967,0.000446895
-86.9999,0.31831,0.291102,0.307238,0.311706,0.294107,0.287557,0.288136,0.0129026,0.000305945
-85.9999,0.31831,0.291135,0.307238,0.311706,0.29413,0.28758,0.28836,0.0106556,0.000234092
-84.9999,0.31831,0.291178,0.307238,0.311706,0.29416,0.28761,0.288592,0.00939118,0.000190747
-83.9999,0.31831,0.291229,0.307238,0.311706,0.294196,0.287647,0.288831,0.00863781,0.000161846
-82.9999,0.31831,0.29129,0.307238,0.311706,0.294239,0.28769,0.289078,0.0081918,0.000141258
-81.9999,0.31831,0.29136,0.307238,0.311706,0.294289,0.28774,0.289332,0.00795258,0.000125892
-80.9999,0.31831,0.29144,0.307238,0.311706,0.294345,0.287796,0.289593,0.00786643,0.00011402
-79.9999,0.31831,0.291528,0.307238,0.311706,0.294408,0.287859,0.289861,0.00790379,0.0001046
-78.9999,0.31831,0.291626,0.307238,0.311706,0.294477,0.287929,0.290136,0.00804895,9.69708e-005
-77.9999,0.31831,0.291734,0.307238,0.311706,0.294553,0.288005,0.290417,0.00829508,9.06887e-005
-76.9999,0.31831,0.29185,0.307238,0.311706,0.294635,0.288088,0.290705,0.00864165,8.54469e-005
-75.9999,0.31831,0.291976,0.307238,0.311706,0.294724,0.288177,0.290998,0.00909333,8.10266e-005
-74.9999,0.31831,0.29211,0.307238,0.311706,0.294819,0.288273,0.291298,0.00965952,7.72669e-005
-73.9999,0.31831,0.292254,0.307238,0.311706,0.294921,0.288375,0.291603,0.0103545,7.40476e-005
-72.9999,0.31831,0.292407,0.307238,0.311706,0.295029,0.288483,0.291914,0.0111982,7.12767e-005
-71.9999,0.31831,0.292569,0.307238,0.311706,0.295143,0.288598,0.29223,0.012217,6.8883e-005
-70.9999,0.31831,0.292739,0.307238,0.311706,0.295264,0.288719,0.292551,0.0134457,6.68103e-005
-69.9999,0.31831,0.292919,0.307238,0.311706,0.295391,0.288847,0.292877,0.0149298,6.50141e-005
-68.9999,0.31831,0.293107,0.307238,0.311706,0.295524,0.28898,0.293208,0.0167286,6.34583e-005
-67.9999,0.31831,0.293304,0.307238,0.311706,0.295664,0.28912,0.293543,0.0189209,6.21137e-005
-66.9999,0.31831,0.29351,0.307238,0.311706,0.295809,0.289266,0.293882,0.0216108,6.09563e-005
-65.9999,0.31831,0.293725,0.307238,0.311706,0.295961,0.289419,0.294225,0.0249388,5.99666e-005
-64.9999,0.31831,0.293948,0.307238,0.311706,0.296119,0.289577,0.294572,0.029096,5.91282e-005
-63.9999,0.31831,0.294179,0.307238,0.311706,0.296282,0.289741,0.294922,0.0343464,5.84276e-005
-62.9999,0.31831,0.294419,0.307238,0.311706,0.296452,0.289912,0.295275,0.0410609,5.78534e-005
-61.9999,0.31831,0.294668,0.307238,0.311706,0.296628,0.290088,0.295632,0.0497699,5.73963e-005
