theta_o,Lambert,ON,QON,footnoteQON,fujiiQON,FON,EON,GGX,MRM
-89.9999,0.31831,0.0591735,0.196027,0.213659,0.11405,0.0919182,0.0919182,9.88033,0.411538
-88.9999,0.31831,0.0592878,0.196027,0.213659,0.114069,0.0919449,0.0922038,9.02693,0.372673
-87.9999,0.31831,0.0596308,0.196027,0.213659,0.114129,0.0920249,0.0925672,8.30746,0.340413
-86.9999,0.31831,0.0602022,0.196027,0.213659,0.114228,0.0921583,0.0929858,7.69085,0.313237
-85.9999,0.31831,0.061002,0.196027,0.213659,0.114367,0.092345,0.0934594,7.15495,0.290058
-84.9999,0.31831,0.0620299,0.196027,0.213659,0.114546,0.0925849,0.0939878,6.68354,0.270079
-83.9999,0.31831,0.0632856,0.196027,0.213659,0.114764,0.0928779,0.0945708,6.2645,0.252702
-82.9999,0.31831,0.0647686,0.196027,0.213659,0.115021,0.0932241,0.0952079,5.88857,0.23747
-81.9999,0.31831,0.0664787,0.196027,0.213659,0.115318,0.0936232,0.0958989,5.54861,0.224028
-80.9999,0.31831,0.0684151,0.196027,0.213659,0.115654,0.0940752,0.0966434,5.23898,0.212094
-79.9999,0.31831,0.0705772,0.196027,0.213659,0.11603,0.0945798,0.0974411,4.95519,0.201443
-78.9999,0.31831,0.0716105,0.196027,0.213659,0.116444,0.095137,0.0982916,4.69366,0.191894
-77.9999,0.31831,0.0728442,0.196027,0.213659,0.116898,0.0957467,0.0991944,4.45145,0.183297
-76.9999,0.31831,0.0742365,0.196027,0.213659,0.11739,0.0964085,0.100149,4.22616,0.17553
-75.9999,0.31831,0.0757575,0.196027,0.213659,0.117921,0.0971223,0.101155,4.01582,0.168489
-74.9999,0.31831,0.0773849,0.196027,0.213659,0.118491,0.0978879,0.102213,3.81877,0.162089
-73.9999,0.31831,0.0791016,0.196027,0.213659,0.119099,0.098705,0.10332,3.63363,0.156257
-72.9999,0.31831,0.0808942,0.196027,0.213659,0.119745,0.0995734,0.104478,3.45925,0.150929
-71.9999,0.31831,0.0827523,0.196027,0.213659,0.120429,0.100493,0.105685,3.29463,0.146054
-70.9999,0.31831,0.0846672,0.196027,0.213659,0.121151,0.101463,0.106941,3.13893,0.141584
-69.9999,0.31831,0.0866318,0.196027,0.213659,0.12191,0.102484,0.108245,2.99142,0.137481
-68.9999,0.31831,0.0886404,0.196027,0.213659,0.122707,0.103555,0.109598,2.85149,0.133709
-67.9999,0.31831,0.0906879,0.196027,0.213659,0.123541,0.104675,0.110997,2.71859,0.130239
-66.9999,0.31831,0.09277,0.196027,0.213659,0.124411,0.105845,0.112443,2.59225,0.127044
-65.9999,0.31831,0.094883,0.196027,0.213659,0.125319,0.107065,0.113935,2.47205,0.1241
-64.9999,0.31831,0.0970238,0.196027,0.213659,0.126262,0.108333,0.115472,2.35761,0.121388
-63.9999,0.31831,0.0991893,0.196027,0.213659,0.127241,0.109649,0.117054,2.24861,0.118887
-62.9999,0.31831,0.101377,0.196027,0.213659,0.128256,0.111013,0.118681,2.14476,0.116584
-61.9999,0.31831,0.103585,0.196027,0.213659,0.129307,0.112425,0.12035,2.04578,0.114462
-60.9999,0.31831,0.105811,0.196027,0.213659,0.130392,0.113884,0.122063,1.95143,0.11251
-59.9999,0.31831,0.108052,0.196027,0.213659,0.131513,0.11539,0.123817,1.86148,0.110715
-58.9999,0.31831,0.110308,0.196027,0.213659,0.132667,0.116942,0.125614,1.77573,0.109068
-57.9999,0.31831,0.112577,0.196027,0.213659,0.133856,0.118539,0.12745,1.69398,0.107559
-56.9999,0.31831,0.114857,0.196027,0.213659,0.135078,0.120182,0.129328,1.61605,0.10618
-55.9999,0.31831,0.117147,0.196027,0.213659,0.136334,0.12187,0.131244,1.54177,0.104923
-54.9999,0.31831,0.119446,0.196027,0.213659,0.137622,0.123602,0.1332,1.47099,0.103782
-53.9999,0.31831,0.121752,0.196027,0.213659,0.138943,0.125377,0.135193,1.40354,0.102751
-52.9999,0.31831,0.124064,0.196027,0.213659,0.140296,0.127196,0.137224,1.33929,0.101825
-51.9999,0.31831,0.126382,0.196027,0.213659,0.141681,0.129058,0.139292,1.27808,0.100998
-50.9999,0.31831,0.128705,0.196027,0.213659,0.143097,0.130961,0.141396,1.2198,0.100266
-49.9999,0.31831,0.13103,0.196027,0.213659,0.144545,0.132906,0.143535,1.16431,0.0996257
-48.9999,0.31831,0.133359,0.196027,0.213659,0.146022,0.134892,0.145709,1.11149,0.0990733
-47.9999,0.31831,0.13569,0.196027,0.213659,0.147529,0.136918,0.147918,1.06122,0.0986058
-46.9999,0.31831,0.138021,0.196027,0.213659,0.149066,0.138984,0.150159,1.01338,0.0982205
-45.9999,0.31831,0.140354,0.196027,0.213659,0.150632,0.141088,0.152434,0.967876,0.0979148
-44.9999,0.31831,0.142686,0.196027,0.213659,0.152227,0.143232,0.15474,0.924589,0.0976867
-43.9999,0.31831,0.145018,0.196027,0.213659,0.153849,0.145412,0.157078,0.883422,0.0975344
-42.9999,0.31831,0.147348,0.196027,0.213659,0.155499,0.14763,0.159447,0.844276,0.0974562
-41.9999,0.31831,0.149676,0.196027,0.213659,0.157177,0.149885,0.161845,0.807057,0.0974509
-40.9999,0.31831,0.152003,0.196027,0.213659,0.158881,0.152175,0.164274,0.771674,0.0975173
-39.9999,0.31831,0.154326,0.196027,0.213659,0.16061,0.1545,0.166731,0.738041,0.0976547
-38.9999,0.31831,0.156647,0.196027,0.213659,0.162366,0.156859,0.169216,0.706072,0.0978621
-37.9999,0.31831,0.158964,0.196027,0.213659,0.164146,0.159252,0.171729,0.675689,0.0981393
-36.9999,0.31831,0.161277,0.196027,0.213659,0.165951,0.161678,0.174269,0.646814,0.0984859
-35.9999,0.31831,0.163587,0.196027,0.213659,0.16778,0.164136,0.176834,0.619374,0.0989019
-34.9999,0.31831,0.165892,0.196027,0.213659,0.169632,0.166625,0.179426,0.593296,0.0993871
-33.9999,0.31831,0.168192,0.196027,0.213659,0.171507,0.169145,0.182042,0.568515,0.0999421
-32.9999,0.31831,0.170487,0.196027,0.213659,0.173404,0.171695,0.184683,0.544965,0.100567
-31.9999,0.31831,0.172778,0.196027,0.213659,0.175322,0.174274,0.187348,0.522584,0.101263
-30.9999,0.31831,0.175064,0.196027,0.213659,0.177262,0.176881,0.190035,0.501315,0.10203
-29.9999,0.31831,0.177344,0.196027,0.213659,0.179222,0.179516,0.192745,0.4811,0.102869
-28.9999,0.31831,0.179619,0.196027,0.213659,0.181202,0.182177,0.195477,0.461887,0.103782
-27.9999,0.31831,0.18189,0.196027,0.213659,0.183201,0.184864,0.19823,0.443623,0.104769
-26.9999,0.31831,0.184154,0.196027,0.213659,0.185219,0.187576,0.201003,0.426261,0.105833
-25.9999,0.31831,0.186414,0.196027,0.213659,0.187255,0.190313,0.203796,0.409755,0.106974
-24.9999,0.31831,0.188669,0.196027,0.213659,0.189308,0.193072,0.206608,0.394061,0.108194
-23.9999,0.31831,0.190918,0.196027,0.213659,0.191378,0.195855,0.209439,0.379137,0.109496
-22.9999,0.31831,0.193163,0.196027,0.213659,0.193465,0.198659,0.212288,0.364943,0.110882
-21.9999,0.31831,0.195403,0.196027,0.213659,0.195566,0.201484,0.215154,0.351443,0.112354
-20.9999,0.31831,0.197638,0.196027,0.213659,0.197683,0.204329,0.218037,0.3386,0.113913
-19.9999,0.31831,0.19987,0.196027,0.213659,0.199814,0.207193,0.220935,0.32638,0.115564
-18.9999,0.31831,0.202097,0.196027,0.213659,0.201958,0.210075,0.223848,0.314753,0.117309
